Ticker,Denominação social,Nome de pregão,CNPJ,
MWET4,Wetzel S/A,WETZEL S.A.,84.683.671/0001-94,84683671000194
MYPK3,Iochp-Maxion,IOCHPE MAXION S.A.,61.156.113/0001-75,61156113000175
NEMO3,Suzano Hold,SUZANO HOLDING S.A.,60.651.809/0001-05,60651809000105
NEMO5,Suzano Hold,SUZANO HOLDING S.A.,60.651.809/0001-05,60651809000105
NEMO6,Suzano Hold,SUZANO HOLDING S.A.,60.651.809/0001-05,60651809000105
NEOE3,Neoenergia,NEOENERGIA S.A.,01.083.200/0001-18,1083200000118
NEXP3,NEXPE,NEXPE PARTICIPAÇÕES S.A,08.613.550/0001-98,8613550000198
NGRD3,Neogrid,NEOGRID PARTICIPACOES S.A.,10.139.870/0001-08,10139870000108
NINJ3,Getninjas,GETNINJAS S.A.,14.127.813/0001-51,14127813000151
NORD3,Nordon Met,NORDON INDUSTRIAS METALURGICAS S.A.,60.884.319/0001-59,60884319000159
NRTQ3,Nortcquimica,NORTEC QUÍMICA S.A.,29.950.060/0001-57,29950060000157
NTCO3,Grupo Natura,NATURA &CO HOLDING S.A.,32.785.497/0001-97,32785497000197
NUBR33,NU-NUBANK,NU HOLDINGS LTD,24.410.913/0001-44,24410913000144
NUTR3,Nutriplant,NUTRIPLANT INDUSTRIA E COMERCIO S.A.,51.128.999/0001-90,51128999000190
ODER3,Oderich,CONSERVAS ODERICH S.A.,97.191.902/0001-94,97191902000194
ODER4,Oderich,CONSERVAS ODERICH S.A.,97.191.902/0001-94,97191902000194
ODPV3,Odontoprev,ODONTOPREV S.A.,58.119.199/0001-51,58119199000151
OFSA3,Ourofino S/A,OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.,20.258.278/0001-70,20258278000170
OIBR3,Oi,OI S.A.,76.535.764/0001-43,76535764000143
OIBR4,Oi,OI S.A.,76.535.764/0001-43,76535764000143
ONCO3,Oncoclinicas,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS S.A.,12.104.241/0004-02,12104241000402
OPCT3,Oceanpact,OCEANPACT SERVICOS MARITIMOS S.A.,09.114.805/0001-30,9114805000130
OPGM3B,Gama Part,GAMA PARTICIPACOES S.A.,02.796.775/0001-40,2796775000140
OPSE3B,Sudeste S/A,SUDESTE S.A.,02.062.747/0001-08,2062747000108
OPTS3B,Sul 116 Part,SUL 116 PARTICIPACOES S.A.,01.957.772/0001-89,1957772000189
ORVR3,Orizon,ORIZON VALORIZACAO DE RESIDUOS S.A.,11.421.994/0001-36,11421994000136
OSXB3,OSX Brasil,OSX BRASIL S.A.,09.112.685/0001-32,9112685000132
PARD3,Ihpardini,INSTITUTO HERMES PARDINI S.A.,19.378.769/0001-76,19378769000176
PASS3,Compass Gas,COMPASS GÁS E ENERGIA S.A.,21.389.501/0001-81,21389501000181
PASS6,Compass Gas,COMPASS GÁS E ENERGIA S.A.,21.389.501/0001-81,21389501000181
PATI3,Panatlantica,PANATLANTICA S.A.,92.693.019/0001-89,92693019000189
PATI4,Panatlantica,PANATLANTICA S.A.,92.693.019/0001-89,92693019000189
PCAR3,P.Acucar-Cbd,CIA BRASILEIRA DE DISTRIBUICAO,47.508.411/0001-56,47508411000156
PDGR3,PDG Realt,PDG REALTY S.A. EMPREEND E PARTICIPACOES,02.950.811/0001-89,2950811000189
PDTC3,Padtec,PADTEC HOLDING S.A.,02.365.069/0001-44,2365069000144
PEAB3,Par Al Bahia,CIA PARTICIPACOES ALIANCA DA BAHIA,01.938.783/0001-11,1938783000111
PEAB4,Par Al Bahia,CIA PARTICIPACOES ALIANCA DA BAHIA,01.938.783/0001-11,1938783000111
PETR3,Petrobras,PETROLEO BRASILEIRO S.A. PETROBRAS,33.000.167/0001-01,33000167000101
PETR4,Petrobras,PETROLEO BRASILEIRO S.A. PETROBRAS,33.000.167/0001-01,33000167000101
PETZ3,Petz,PET CENTER COMERCIO  E PARTICIPACOES S.A.,18.328.118/0001-09,18328118000109
PFRM3,Profarma,PROFARMA DISTRIB PROD FARMACEUTICOS S.A.,45.453.214/0001-51,45453214000151
PGMN3,Pague Menos,EMPREENDIMENTOS PAGUE MENOS S.A.,06.626.253/0001-51,6626253000151
PINE3,Pine,BCO PINE S.A.,62.144.175/0001-20,62144175000120
PINE4,Pine,BCO PINE S.A.,62.144.175/0001-20,62144175000120
PLAS3,Plascar Part,PLASCAR PARTICIPACOES INDUSTRIAIS S.A.,51.928.174/0001-50,51928174000150
PLPL3,Planoeplano,PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.,24.230.275/0001-80,24230275000180
PMAM3,Paranapanema,PARANAPANEMA S.A.,60.398.369/0001-26,60398369000126
PNVL3,Dimed,DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,92.665.611/0001-77,92665611000177
POMO3,Marcopolo,MARCOPOLO S.A.,88.611.835/0001-29,88611835000129
POMO4,Marcopolo,MARCOPOLO S.A.,88.611.835/0001-29,88611835000129
PORT3,Wilson Sons,WILSON SONS HOLDINGS BRASIL S.A.,33.130.691/0001-05,33130691000105
POSI3,Positivo Tec,POSITIVO TECNOLOGIA S.A.,81.243.735/0001-48,81243735000148
PPAR3,Polpar,POLPAR S.A.,59.789.545/0001-71,59789545000171
PPLA11,Ppla,PPLA PARTICIPATIONS LTD.,15.073.274/0001-88,15073274000188
PRIO3,Petrorio,PETRO RIO S.A.,10.629.105/0001-68,10629105000168
PRNR3,Priner,PRINER SERVIÇOS INDUSTRIAIS S.A.,18.593.815/0001-97,18593815000197
PRPT3B,Prompt Part,PROMPT PARTICIPACOES S.A.,02.992.449/0001-09,2992449000109
PSSA3,Porto Seguro,PORTO SEGURO S.A.,02.149.205/0001-69,2149205000169
PTBL3,Portobello,PBG S/A,83.475.913/0001-91,83475913000191
PTCA11,Pratica,PRATICA KLIMAQUIP INDUSTRIA E COMERCIO SA,08.574.411/0001-00,8574411000100
PTCA3,Pratica,PRATICA KLIMAQUIP INDUSTRIA E COMERCIO SA,08.574.411/0001-00,8574411000100
PTNT3,Pettenati,PETTENATI S.A. INDUSTRIA TEXTIL,88.613.658/0001-10,88613658000110
PTNT4,Pettenati,PETTENATI S.A. INDUSTRIA TEXTIL,88.613.658/0001-10,88613658000110
QUAL3,Qualicorp,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,11.992.680/0001-93,11992680000193
QUSW3,Quality Soft,QUALITY SOFTWARE S.A.,35.791.391/0001-94,35791391000194
QVQP3B,524 Particip,524 PARTICIPACOES S.A.,01.851.771/0001-55,1851771000155
RADL3,RaiaDrogasil,RAIA DROGASIL S.A.,61.585.865/0001-51,61585865000151
RAIL3,Rumo S.A.,RUMO S.A.,02.387.241/0001-60,2387241000160
RAIZ4,Raizen,RAIZEN S.A.,33.453.598/0001-23,33453598000123
RANI3,Irani,IRANI PAPEL E EMBALAGEM S.A.,92.791.243/0001-03,92791243000103
RAPT3,Randon Part,RANDON S.A. IMPLEMENTOS E PARTICIPACOES,89.086.144/0001-16,89086144000116
RAPT4,Randon Part,RANDON S.A. IMPLEMENTOS E PARTICIPACOES,89.086.144/0001-16,89086144000116
RBNS11,Rodobens,RODOBENS S.A,59.981.829/0001-65,59981829000165
RCSL3,Recrusul,RECRUSUL S.A.,91.333.666/0001-17,91333666000117
RCSL4,Recrusul,RECRUSUL S.A.,91.333.666/0001-17,91333666000117
RDNI3,Rni,RNI NEGÓCIOS IMOBILIÁRIOS S.A.,67.010.660/0001-24,67010660000124
RDOR3,Rede D Or,Rede DOr São Luiz S.A.,06.047.087/0001-39,6047087000139
RECV3,Petrorecsa,PETRORECÔNCAVO S.A.,03.342.704/0001-30,3342704000130
REDE3,Rede Energia,REDE ENERGIA PARTICIPAÇÕES S.A.,61.584.140/0001-49,61584140000149
RENT3,Localiza,LOCALIZA RENT A CAR S.A.,16.670.085/0001-55,16670085000155
RNEW11,Renova,RENOVA ENERGIA S.A.,08.534.605/0001-74,8534605000174
RNEW3,Renova,RENOVA ENERGIA S.A.,08.534.605/0001-74,8534605000174
RNEW4,Renova,RENOVA ENERGIA S.A.,08.534.605/0001-74,8534605000174
ROMI3,Inds Romi,INDUSTRIAS ROMI S.A.,56.720.428/0001-63,56720428000163
RPAD3,Alfa Holding,ALFA HOLDINGS S.A.,17.167.396/0001-69,17167396000169
RPAD5,Alfa Holding,ALFA HOLDINGS S.A.,17.167.396/0001-69,17167396000169
RPAD6,Alfa Holding,ALFA HOLDINGS S.A.,17.167.396/0001-69,17167396000169
RPMG3,Pet Manguinh,REFINARIA DE PETROLEOS MANGUINHOS S.A.,33.412.081/0001-96,33412081000196
RRRP3,3r Petroleum,3R PETROLEUM ÓLEO E GÁS S.A,12.091.809/0001-55,12091809000155
RSID3,Rossi Resid,ROSSI RESIDENCIAL S.A.,61.065.751/0001-80,61065751000180
RSUL3,Riosulense,METALURGICA RIOSULENSE S.A.,85.778.074/0001-06,85778074000106
RSUL4,Riosulense,METALURGICA RIOSULENSE S.A.,85.778.074/0001-06,85778074000106
SANB11,Santander BR,BCO SANTANDER (BRASIL) S.A.,90.400.888/0001-42,90400888000142
SANB3,Santander BR,BCO SANTANDER (BRASIL) S.A.,90.400.888/0001-42,90400888000142
SANB4,Santander BR,BCO SANTANDER (BRASIL) S.A.,90.400.888/0001-42,90400888000142
SANB99,Santander BR,BCO SANTANDER (BRASIL) S.A.,90.400.888/0001-42,90400888000142
SAPR11,Sanepar,CIA SANEAMENTO DO PARANA – SANEPAR,76.484.013/0001-45,76484013000145
SAPR3,Sanepar,CIA SANEAMENTO DO PARANA – SANEPAR,76.484.013/0001-45,76484013000145
SAPR4,Sanepar,CIA SANEAMENTO DO PARANA – SANEPAR,76.484.013/0001-45,76484013000145
SBFG3,Grupo Sbf,GRUPO SBF SA,13.217.485/0001-11,13217485000111
SBSP3,Sabesp,CIA SANEAMENTO BASICO EST SAO PAULO,43.776.517/0001-80,43776517000180
SCAR3,Sao Carlos,SAO CARLOS EMPREEND E PARTICIPACOES S.A.,29.780.061/0001-09,29780061000109
SEER3,Ser Educa,SER EDUCACIONAL S.A.,04.986.320/0001-13,4986320000113
SEQL3,Sequoia Log,SEQUOIA LOGISTICA E TRANSPORTES S.A,01.599.101/0001-93,1599101000193
SGPS3,Springs,SPRINGS GLOBAL PARTICIPACOES S.A.,07.718.269/0001-57,7718269000157
SHOW3,Time For Fun,T4F ENTRETENIMENTO S.A.,02.860.694/0001-62,2860694000162
SHUL3,Schulz,SCHULZ S.A.,84.693.183/0001-68,84693183000168
SHUL4,Schulz,SCHULZ S.A.,84.693.183/0001-68,84693183000168
SIMH3,Simpar,SIMPAR S.A.,07.415.333/0001-20,7415333000120
SLCE3,SLC Agricola,SLC AGRICOLA S.A.,89.096.457/0001-55,89096457000155
SLED3,Saraiva Livr,SARAIVA LIVREIROS S.A. – EM RECUPERAÇÃO JUDICIAL,60.500.139/0001-26,60500139000126
SLED4,Saraiva Livr,SARAIVA LIVREIROS S.A. – EM RECUPERAÇÃO JUDICIAL,60.500.139/0001-26,60500139000126
SMFT3,Smart Fit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,07.594.978/0001-78,7594978000178
SMTO3,Sao Martinho,SAO MARTINHO S.A.,51.466.860/0001-56,51466860000156
SNSY3,Sansuy,SANSUY S.A. INDUSTRIA DE PLASTICOS,14.807.945/0001-24,14807945000124
SNSY5,Sansuy,SANSUY S.A. INDUSTRIA DE PLASTICOS,14.807.945/0001-24,14807945000124
SNSY6,Sansuy,SANSUY S.A. INDUSTRIA DE PLASTICOS,14.807.945/0001-24,14807945000124
SOJA3,Boa Safra,BOA SAFRA SEMENTES S.A.,10.807.374/0001-77,10807374000177
SOMA3,Grupo Soma,GRUPO DE MODA SOMA S.A.,10.285.590/0001-08,10285590000108
SOND3,Sondotecnica,SONDOTECNICA ENGENHARIA SOLOS S.A.,33.386.210/0001-19,33386210000119
SOND5,Sondotecnica,SONDOTECNICA ENGENHARIA SOLOS S.A.,33.386.210/0001-19,33386210000119
SOND6,Sondotecnica,SONDOTECNICA ENGENHARIA SOLOS S.A.,33.386.210/0001-19,33386210000119
SQIA3,Sinqia,SINQIA S.A.,04.065.791/0001-99,4065791000199
STBP3,Santos Brp,SANTOS BRASIL PARTICIPACOES S.A.,02.762.121/0001-04,2762121000104
STKF3,Statkraft,STATKRAFT ENERGIAS RENOVAVEIS S.A.,00.622.416/0001-41,622416000141
SUZB3,Suzano S.A.,SUZANO S.A.,16.404.287/0001-55,16404287000155
SYNE3,Syn Prop Tec,SYN PROP E TECH S.A.,08.801.621/0001-86,8801621000186
TAEE11,Taesa,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,07.859.971/0001-30,7859971000130
TAEE3,Taesa,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,07.859.971/0001-30,7859971000130
TAEE4,Taesa,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,07.859.971/0001-30,7859971000130
TASA3,Taurus Armas,TAURUS ARMAS S.A.,92.781.335/0001-02,92781335000102
TASA4,Taurus Armas,TAURUS ARMAS S.A.,92.781.335/0001-02,92781335000102
TCNO3,Tecnosolo,TECNOSOLO ENGENHARIA S.A.,33.111.246/0001-90,33111246000190
TCNO4,Tecnosolo,TECNOSOLO ENGENHARIA S.A.,33.111.246/0001-90,33111246000190
TCSA3,Tecnisa,TECNISA S.A.,08.065.557/0001-12,8065557000112
TECN3,Technos,TECHNOS S.A.,09.295.063/0001-97,9295063000197
TEGA3,Tegra Incorp,TEGRA INCORPORADORA S.A.,30.213.493/0001-09,30213493000109
TEKA3,Teka,TEKA-TECELAGEM KUEHNRICH S.A.,82.636.986/0001-55,82636986000155
TEKA4,Teka,TEKA-TECELAGEM KUEHNRICH S.A.,82.636.986/0001-55,82636986000155
TELB3,Telebras,TELEC BRASILEIRAS S.A. TELEBRAS,00.336.701/0001-04,336701000104
TELB4,Telebras,TELEC BRASILEIRAS S.A. TELEBRAS,00.336.701/0001-04,336701000104
TEND3,Tenda,CONSTRUTORA TENDA S.A.,71.476.527/0001-35,71476527000135
TFCO4,Track Field,TRACK & FIELD CO S.A.,59.418.806/0001-47,59418806000147
TGMA3,Tegma,TEGMA GESTAO LOGISTICA S.A.,02.351.144/0001-18,2351144000118
TIMS3,Tim,TIM S.A.,02.421.421/0001-11,2421421000111
TKNO3,Tekno,TEKNO S.A. – INDUSTRIA E COMERCIO,33.467.572/0001-34,33467572000134
TKNO4,Tekno,TEKNO S.A. – INDUSTRIA E COMERCIO,33.467.572/0001-34,33467572000134
TOTS3,Totvs,TOTVS S.A.,53.113.791/0001-22,53113791000122
TPIS3,Triunfo Part,TPI – TRIUNFO PARTICIP. E INVEST. S.A.,03.014.553/0001-91,3014553000191
TRAD3,Tc,TC TRADERS CLUB S.A.,26.345.998/0001-50,26345998000150
TRIS3,Trisul,TRISUL S.A.,08.811.643/0001-27,8811643000127
TRPL3,Tran Paulist,CTEEP – CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,02.998.611/0001-04,2998611000104
TRPL4,Tran Paulist,CTEEP – CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,02.998.611/0001-04,2998611000104
TTEN3,3tentos,TRÊS TENTOS AGROINDUSTRIAL SA,94.813.102/0001-70,94813102000170
TUPY3,Tupy,TUPY S.A.,84.683.374/0001-49,84683374000149
TXRX3,Tex Renaux,TEXTIL RENAUXVIEW S.A.,82.982.075/0001-80,82982075000180
TXRX4,Tex Renaux,TEXTIL RENAUXVIEW S.A.,82.982.075/0001-80,82982075000180
UCAS3,Unicasa,UNICASA INDÚSTRIA DE MÓVEIS S.A.,90.441.460/0001-48,90441460000148
UGPA3,Ultrapar,ULTRAPAR PARTICIPACOES S.A.,33.256.439/0001-39,33256439000139
UNIP3,Unipar,UNIPAR CARBOCLORO S.A.,33.958.695/0001-78,33958695000178
UNIP5,Unipar,UNIPAR CARBOCLORO S.A.,33.958.695/0001-78,33958695000178
UNIP6,Unipar,UNIPAR CARBOCLORO S.A.,33.958.695/0001-78,33958695000178
UPKP3B,Uptick,UPTICK PARTICIPACOES S.A.,02.162.616/0001-94,2162616000194
USIM3,Usiminas,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,60.894.730/0001-05,60894730000105
USIM5,Usiminas,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,60.894.730/0001-05,60894730000105
USIM6,Usiminas,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,60.894.730/0001-05,60894730000105
VALE3,Vale,VALE S.A.,33.592.510/0001-54,33592510000154
VAMO3,Vamos,"VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIP. S.A.",23.373.000/0001-32,23373000000132
VBBR3,Vibra,VIBRA ENERGIA S.A.,34.274.233/0001-02,34274233000102
VIIA3,Via,VIA S.A,33.041.260/0652-90,33041260065290
VITT3,Vittia,VITTIA FERTILIZANTES E BIOLOGICOS S.A.,45.365.558/0001-09,45365558000109
VIVA3,Vivara S.A.,VIVARA PARTICIPAÇOES S.A,33.839.910/0001-11,33839910000111
VIVR3,Viver,VIVER INCORPORADORA E CONSTRUTORA S.A.,67.571.414/0001-41,67571414000141
VIVT3,Telef Brasil,TELEFÔNICA BRASIL S.A,02.558.157/0001-62,2558157000162
VLID3,Valid,VALID SOLUÇÕES S.A.,33.113.309/0001-47,33113309000147
VSTE3,VESTE,VESTE S.A. ESTILO,49.669.856/0001-43,49669856000143
VULC3,Vulcabras,VULCABRAS/AZALEIA S.A.,50.926.955/0001-42,50926955000142
VVEO3,Viveo,CM HOSPITALAR S.A.,12.420.164/0001-57,12420164000157
WEGE3,Weg,WEG S.A.,84.429.695/0001-11,84429695000111
WEST3,Westwing,WESTWING COMERCIO VAREJISTA S.A.,14.776.142/0001-50,14776142000150
WHRL3,Whirlpool,WHIRLPOOL S.A.,59.105.999/0001-86,59105999000186
WHRL4,Whirlpool,WHIRLPOOL S.A.,59.105.999/0001-86,59105999000186
WIZC3,WIZ CO,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.,42.278.473/0001-03,42278473000103
WLMM3,Wlm Ind Com,WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.,33.228.024/0001-51,33228024000151
WLMM4,Wlm Ind Com,WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.,33.228.024/0001-51,33228024000151
YBRA3B,Ybyra S/A,YBRA3 TENNOLOGIA LTDA,02.217.319/0001-07,2217319000107
YDUQ3,Yduqs Part,YDUQS PARTICIPACOES S.A.,08.807.432/0001-10,8807432000110
ZAMP3,ZAMP S.A.,ZAMP S.A.,13.574.594/0001-96,13574594000196
AZZA3,AZZAS 2154 S.A.,AZZAS 2154 S.A.,16.590.234/0001-76,
ISAE4,CTEEP,ISA ENERGIA BRASIL S.A.,02.998.611/0001-04,
